lab.id,site,unique.id,moisture.trt,temp.trt,moisturePercent.gwc,total.dwe.added,cumulativeCO2Flux,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
110,BART,BART_S_T0_P08,40,25,65.80955796,1.278122597,47.50438897,44.06388,-71.28731,6.2,1325,232
111,BART,BART_S_T0_P11,40,25,46.98405036,1.280234088,44.93256574,44.06388,-71.28731,6.2,1325,232
112,GRSM,GRSM_S_T0_P20,40,25,32.57625565,1.264693649,38.22925911,35.68896,-83.50195,13.1,1375,579
113,GRSM,GRSM_S_T0_P25,40,25,40.36513191,1.244118184,43.6471381,35.68896,-83.50195,13.1,1375,579
114,GRSM,GRSM_S_T0_P27,40,25,29.47060356,1.246560753,32.08156124,35.68896,-83.50195,13.1,1375,579
115,LENO,LENO_S_T0_P15,40,25,27.17078109,1.25674735,37.46764182,31.85388,-88.16122,18.1,1386,20
116,LENO,LENO_S_T0_P31,40,25,34.46846645,1.253765375,39.58775767,31.85388,-88.16122,18.1,1386,20
117,LENO,LENO_S_T0_P36,40,25,25.34191314,1.26892,30.1597477,31.85388,-88.16122,18.1,1386,20
118,SERC,SERC_S_T0_P10,40,25,25.26739853,1.241390268,30.09068599,38.89008,-76.56001,13.6,1075,15
119,SERC,SERC_S_T0_P20,40,25,24.55320429,1.254236217,27.99466295,38.89008,-76.56001,13.6,1075,15
120,SERC,SERC_S_T0_P28,40,25,36.15461317,1.247150006,38.91426085,38.89008,-76.56001,13.6,1075,15
121,TALL,TALL_S_T0_P23,40,25,15.47117654,1.252254222,31.69938288,32.95046,-87.39327,17.2,1383,135
122,TALL,TALL_S_T0_P27,40,25,19.36135701,1.262553411,40.51492434,32.95046,-87.39327,17.2,1383,135
123,TALL,TALL_S_T0_P32,40,25,15.10989011,1.257442417,27.28537328,32.95046,-87.39327,17.2,1383,135
124,TREE,TREE_S_T0_P13,40,25,36.94961599,1.266355447,27.91801734,45.49369,-89.58571,4.8,797,472
125,TREE,TREE_S_T0_P19,40,25,23.23692552,1.26074108,35.65178284,45.49369,-89.58571,4.8,797,472
126,TREE,TREE_S_T0_P34,40,25,15.7744852,1.261619762,47.9197666,45.49369,-89.58571,4.8,797,472
127,BART,BART_S_T0_P02,60,25,62.33846894,1.270053192,50.37755098,44.06388,-71.28731,6.2,1325,232
128,BART,BART_S_T0_P08,60,25,65.80955796,1.275432805,48.49345333,44.06388,-71.28731,6.2,1325,232
129,BART,BART_S_T0_P11,60,25,46.98405036,1.262885021,51.79465015,44.06388,-71.28731,6.2,1325,232
130,GRSM,GRSM_S_T0_P20,60,25,32.57625565,1.264260528,52.90427847,35.68896,-83.50195,13.1,1375,579
131,GRSM,GRSM_S_T0_P25,60,25,40.36513191,1.255764899,49.62873832,35.68896,-83.50195,13.1,1375,579
132,GRSM,GRSM_S_T0_P27,60,25,29.47060356,1.247012538,31.42049336,35.68896,-83.50195,13.1,1375,579
133,LENO,LENO_S_T0_P15,60,25,27.17078109,1.263917092,57.73392185,31.85388,-88.16122,18.1,1386,20
134,LENO,LENO_S_T0_P31,60,25,34.46846645,1.248176613,43.05813208,31.85388,-88.16122,18.1,1386,20
135,LENO,LENO_S_T0_P36,60,25,25.34191314,1.26465092,43.45298552,31.85388,-88.16122,18.1,1386,20
136,SERC,SERC_S_T0_P10,60,25,25.26739853,1.2569899,40.06452226,38.89008,-76.56001,13.6,1075,15
137,SERC,SERC_S_T0_P20,60,25,24.55320429,1.244139698,40.76436782,38.89008,-76.56001,13.6,1075,15
138,SERC,SERC_S_T0_P28,60,25,36.15461317,1.252485282,41.78812142,38.89008,-76.56001,13.6,1075,15
139,TALL,TALL_S_T0_P23,60,25,15.47117654,1.263368492,43.85483574,32.95046,-87.39327,17.2,1383,135
140,TALL,TALL_S_T0_P27,60,25,19.36135701,1.254707003,40.67846254,32.95046,-87.39327,17.2,1383,135
141,TALL,TALL_S_T0_P32,60,25,15.10989011,1.257343861,46.90819361,32.95046,-87.39327,17.2,1383,135
142,TREE,TREE_S_T0_P13,60,25,36.94961599,1.253915601,45.33767581,45.49369,-89.58571,4.8,797,472
143,TREE,TREE_S_T0_P19,60,25,23.23692552,1.243736103,36.30450999,45.49369,-89.58571,4.8,797,472
144,TREE,TREE_S_T0_P34,60,25,15.7744852,1.250522788,36.12954944,45.49369,-89.58571,4.8,797,472
145,BART,BART_S_T0_P02,80,25,62.33846894,1.2455249,48.54497124,44.06388,-71.28731,6.2,1325,232
146,BART,BART_S_T0_P08,80,25,65.80955796,1.276974478,50.72109784,44.06388,-71.28731,6.2,1325,232
147,BART,BART_S_T0_P11,80,25,46.98405036,1.247239729,46.1899177,44.06388,-71.28731,6.2,1325,232
148,GRSM,GRSM_S_T0_P20,80,25,32.57625565,1.259318337,52.63175004,35.68896,-83.50195,13.1,1375,579
149,GRSM,GRSM_S_T0_P25,80,25,40.36513191,1.252363203,44.3634039,35.68896,-83.50195,13.1,1375,579
150,GRSM,GRSM_S_T0_P27,80,25,29.47060356,1.250243397,47.53275338,35.68896,-83.50195,13.1,1375,579
151,LENO,LENO_S_T0_P15,80,25,27.17078109,1.255740161,48.70269618,31.85388,-88.16122,18.1,1386,20
152,LENO,LENO_S_T0_P31,80,25,34.46846645,1.261056038,46.42980915,31.85388,-88.16122,18.1,1386,20
153,LENO,LENO_S_T0_P36,80,25,25.34191314,1.258379562,38.87006644,31.85388,-88.16122,18.1,1386,20
154,SERC,SERC_S_T0_P10,80,25,25.26739853,1.242843972,40.67289186,38.89008,-76.56001,13.6,1075,15
155,SERC,SERC_S_T0_P20,80,25,24.55320429,1.250518434,40.6405849,38.89008,-76.56001,13.6,1075,15
156,SERC,SERC_S_T0_P28,80,25,36.15461317,1.256719618,45.76042766,38.89008,-76.56001,13.6,1075,15
157,TALL,TALL_S_T0_P23,80,25,15.47117654,1.255731268,38.03690577,32.95046,-87.39327,17.2,1383,135
158,TALL,TALL_S_T0_P27,80,25,19.36135701,1.252467054,24.27977077,32.95046,-87.39327,17.2,1383,135
159,TALL,TALL_S_T0_P32,80,25,15.10989011,1.259327021,48.5780983,32.95046,-87.39327,17.2,1383,135
160,TREE,TREE_S_T0_P13,80,25,36.94961599,1.28152924,49.66619174,45.49369,-89.58571,4.8,797,472
161,TREE,TREE_S_T0_P19,80,25,23.23692552,1.25347617,44.75656341,45.49369,-89.58571,4.8,797,472
162,TREE,TREE_S_T0_P34,80,25,15.7744852,1.258092887,30.81418067,45.49369,-89.58571,4.8,797,472
163,BART,BART_S_T0_P02,100,25,62.33846894,1.241788511,39.0553653,44.06388,-71.28731,6.2,1325,232
164,BART,BART_S_T0_P08,100,25,65.80955796,1.248683547,39.09811238,44.06388,-71.28731,6.2,1325,232
165,BART,BART_S_T0_P11,100,25,46.98405036,1.247282692,33.89234777,44.06388,-71.28731,6.2,1325,232
166,GRSM,GRSM_S_T0_P20,100,25,32.57625565,1.269566192,34.04574909,35.68896,-83.50195,13.1,1375,579
167,GRSM,GRSM_S_T0_P25,100,25,40.36513191,1.250971109,46.91693394,35.68896,-83.50195,13.1,1375,579
168,GRSM,GRSM_S_T0_P27,100,25,29.47060356,1.246744814,49.82932008,35.68896,-83.50195,13.1,1375,579
169,LENO,LENO_S_T0_P15,100,25,27.17078109,1.249555158,38.54615826,31.85388,-88.16122,18.1,1386,20
170,LENO,LENO_S_T0_P31,100,25,34.46846645,1.270289879,37.18130441,31.85388,-88.16122,18.1,1386,20
171,LENO,LENO_S_T0_P36,100,25,25.34191314,1.248995808,34.62862739,31.85388,-88.16122,18.1,1386,20
172,SERC,SERC_S_T0_P10,100,25,25.26739853,1.259650377,35.00831305,38.89008,-76.56001,13.6,1075,15
173,SERC,SERC_S_T0_P20,100,25,24.55320429,1.245812878,49.05402591,38.89008,-76.56001,13.6,1075,15
174,SERC,SERC_S_T0_P28,100,25,36.15461317,1.256817087,45.22770913,38.89008,-76.56001,13.6,1075,15
175,TALL,TALL_S_T0_P23,100,25,15.47117654,1.255155737,50.24409289,32.95046,-87.39327,17.2,1383,135
176,TALL,TALL_S_T0_P27,100,25,19.36135701,1.244305237,46.45159652,32.95046,-87.39327,17.2,1383,135
177,TALL,TALL_S_T0_P32,100,25,15.10989011,1.260497115,45.14221535,32.95046,-87.39327,17.2,1383,135
178,TREE,TREE_S_T0_P13,100,25,36.94961599,1.266691733,45.78363995,45.49369,-89.58571,4.8,797,472
179,TREE,TREE_S_T0_P19,100,25,23.23692552,1.24831946,47.75438325,45.49369,-89.58571,4.8,797,472
180,TREE,TREE_S_T0_P34,100,25,15.7744852,1.251882735,48.41600379,45.49369,-89.58571,4.8,797,472
181,BART,BART_S_T0_P22,20,15,46.6349975,1.245036111,3.105836994,44.06388,-71.28731,6.2,1325,232
182,BART,BART_S_T0_P23,20,15,59.05432111,1.254130755,0.683123041,44.06388,-71.28731,6.2,1325,232
183,BART,BART_S_T0_P26,20,15,65.55140671,1.247084419,0.713878955,44.06388,-71.28731,6.2,1325,232
184,GRSM,GRSM_S_T0_P14,20,15,21.96572298,1.253253334,0.808093161,35.68896,-83.50195,13.1,1375,579
185,GRSM,GRSM_S_T0_P22,20,15,36.78869518,1.252431026,0.729326259,35.68896,-83.50195,13.1,1375,579
186,GRSM,GRSM_S_T0_P26,20,15,54.35919371,1.252137357,0.887630184,35.68896,-83.50195,13.1,1375,579
187,LENO,LENO_S_T0_P02,20,15,23.10139553,1.251211962,0.974729887,31.85388,-88.16122,18.1,1386,20
188,LENO,LENO_S_T0_P08,20,15,23.9842933,1.260859298,1.383872176,31.85388,-88.16122,18.1,1386,20
189,LENO,LENO_S_T0_P12,20,15,48.08277783,1.261952011,1.126443174,31.85388,-88.16122,18.1,1386,20
190,SERC,SERC_S_T0_P08,20,15,29.04578374,1.25922848,1.059911434,38.89008,-76.56001,13.6,1075,15
191,SERC,SERC_S_T0_P09,20,15,30.41308729,1.266555335,0.842128878,38.89008,-76.56001,13.6,1075,15
192,SERC,SERC_S_T0_P19,20,15,28.12844298,1.259123434,1.193278747,38.89008,-76.56001,13.6,1075,15
193,TALL,TALL_S_T0_P08,20,15,36.78445904,1.250274631,1.494574279,32.95046,-87.39327,17.2,1383,135
194,TALL,TALL_S_T0_P09,20,15,10.92916429,1.240986518,0.718840152,32.95046,-87.39327,17.2,1383,135
195,TALL,TALL_S_T0_P29,20,15,5.913222753,1.246706362,2.727731355,32.95046,-87.39327,17.2,1383,135
196,TREE,TREE_S_T0_P04,20,15,32.52446265,1.25743378,0.837018938,45.49369,-89.58571,4.8,797,472
197,TREE,TREE_S_T0_P14,20,15,29.48843925,1.250210431,1.905417392,45.49369,-89.58571,4.8,797,472
198,TREE,TREE_S_T0_P15,20,15,20.41676753,1.258903552,1.603546984,45.49369,-89.58571,4.8,797,472
199,BART,BART_S_T0_P22,40,15,46.6349975,1.254812975,19.23911872,44.06388,-71.28731,6.2,1325,232
200,BART,BART_S_T0_P23,40,15,59.05432111,1.238441727,23.39926766,44.06388,-71.28731,6.2,1325,232
201,BART,BART_S_T0_P26,40,15,65.55140671,1.268382379,23.46671679,44.06388,-71.28731,6.2,1325,232
202,GRSM,GRSM_S_T0_P14,40,15,21.96572298,1.254184747,22.14681755,35.68896,-83.50195,13.1,1375,579
203,GRSM,GRSM_S_T0_P22,40,15,36.78869518,1.2563467,18.22726976,35.68896,-83.50195,13.1,1375,579
204,GRSM,GRSM_S_T0_P26,40,15,54.35919371,1.269772832,18.89831118,35.68896,-83.50195,13.1,1375,579
205,LENO,LENO_S_T0_P02,40,15,23.10139553,1.244954178,15.5049242,31.85388,-88.16122,18.1,1386,20
206,LENO,LENO_S_T0_P08,40,15,23.9842933,1.266527339,14.36545502,31.85388,-88.16122,18.1,1386,20
207,LENO,LENO_S_T0_P12,40,15,48.08277783,1.249509096,18.91274467,31.85388,-88.16122,18.1,1386,20
208,SERC,SERC_S_T0_P08,40,15,29.04578374,1.241416291,15.1708777,38.89008,-76.56001,13.6,1075,15
209,SERC,SERC_S_T0_P09,40,15,30.41308729,1.239587352,14.77362722,38.89008,-76.56001,13.6,1075,15
210,SERC,SERC_S_T0_P19,40,15,28.12844298,1.245662092,17.25169004,38.89008,-76.56001,13.6,1075,15
211,TALL,TALL_S_T0_P08,40,15,36.78445904,1.257398427,17.154794,32.95046,-87.39327,17.2,1383,135
212,TALL,TALL_S_T0_P09,40,15,10.92916429,1.252130641,14.38482898,32.95046,-87.39327,17.2,1383,135
213,TALL,TALL_S_T0_P29,40,15,5.913222753,1.247788499,14.11284586,32.95046,-87.39327,17.2,1383,135
214,TREE,TREE_S_T0_P04,40,15,32.52446265,1.252190913,17.92582652,45.49369,-89.58571,4.8,797,472
215,TREE,TREE_S_T0_P14,40,15,29.48843925,1.255302768,22.93853107,45.49369,-89.58571,4.8,797,472
216,TREE,TREE_S_T0_P15,40,15,20.41676753,1.253553198,16.30884315,45.49369,-89.58571,4.8,797,472
217,BART,BART_S_T0_P22,60,15,46.6349975,1.234643764,28.58507877,44.06388,-71.28731,6.2,1325,232
218,BART,BART_S_T0_P23,60,15,59.05432111,1.237075733,32.71986446,44.06388,-71.28731,6.2,1325,232
219,BART,BART_S_T0_P26,60,15,65.55140671,1.247999094,32.18843872,44.06388,-71.28731,6.2,1325,232
220,GRSM,GRSM_S_T0_P14,60,15,21.96572298,1.255380942,27.4256826,35.68896,-83.50195,13.1,1375,579
221,GRSM,GRSM_S_T0_P22,60,15,36.78869518,1.25196806,31.56946965,35.68896,-83.50195,13.1,1375,579
222,GRSM,GRSM_S_T0_P26,60,15,54.35919371,1.273463064,35.59427933,35.68896,-83.50195,13.1,1375,579
223,LENO,LENO_S_T0_P02,60,15,23.10139553,1.253745086,24.54984394,31.85388,-88.16122,18.1,1386,20
224,LENO,LENO_S_T0_P08,60,15,23.9842933,1.267112321,23.69772164,31.85388,-88.16122,18.1,1386,20
225,LENO,LENO_S_T0_P12,60,15,48.08277783,1.258446605,25.64977765,31.85388,-88.16122,18.1,1386,20
226,SERC,SERC_S_T0_P08,60,15,29.04578374,1.266565814,27.29030278,38.89008,-76.56001,13.6,1075,15
227,SERC,SERC_S_T0_P09,60,15,30.41308729,1.244566071,24.14230273,38.89008,-76.56001,13.6,1075,15
228,SERC,SERC_S_T0_P19,60,15,28.12844298,1.259674458,25.13862657,38.89008,-76.56001,13.6,1075,15
229,TALL,TALL_S_T0_P08,60,15,36.78445904,1.23304421,20.28439639,32.95046,-87.39327,17.2,1383,135
