lab.id,site,unique.id,moisture.trt,temp.trt,cumulativeCO2Flux,GWC,VWC,soil.pH,Latitude,Longitude,MAT_c,MAP_mm,Elevation_m
78,GRSM,GRSM_S_T0_P27,100,15,2.556417738,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
79,LENO,LENO_S_T0_P15,100,15,2.392964546,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
80,LENO,LENO_S_T0_P31,100,15,2.241459301,34.46846645,39.63333333,5.92,31.85388,-88.16122,18.1,1386,20
81,LENO,LENO_S_T0_P36,100,15,1.977691977,25.34191314,16.23333333,5.97,31.85388,-88.16122,18.1,1386,20
82,SERC,SERC_S_T0_P10,100,15,2.553078349,25.26739853,20.9,4.71,38.89008,-76.56001,13.6,1075,15
83,SERC,SERC_S_T0_P20,100,15,2.789310527,24.55320429,16.96666667,4.49,38.89008,-76.56001,13.6,1075,15
84,SERC,SERC_S_T0_P28,100,15,2.530387031,36.15461317,47.56666667,5.67,38.89008,-76.56001,13.6,1075,15
85,TALL,TALL_S_T0_P23,100,15,2.245566326,15.47117654,8.633333333,5.27,32.95046,-87.39327,17.2,1383,135
86,TALL,TALL_S_T0_P27,100,15,2.570652644,19.36135701,32.16666667,5.14,32.95046,-87.39327,17.2,1383,135
87,TALL,TALL_S_T0_P32,100,15,2.114554969,15.10989011,5.966666667,4.99,32.95046,-87.39327,17.2,1383,135
88,TREE,TREE_S_T0_P13,100,15,2.392925121,36.94961599,28.43333333,4.41,45.49369,-89.58571,4.8,797,472
89,TREE,TREE_S_T0_P19,100,15,3.060589406,23.23692552,9.6,4.81,45.49369,-89.58571,4.8,797,472
90,TREE,TREE_S_T0_P34,100,15,2.601300756,15.7744852,4.966666667,5.03,45.49369,-89.58571,4.8,797,472
91,BART,BART_S_T0_P02,20,25,0.496693,62.33846894,25.06666667,4.34,44.06388,-71.28731,6.2,1325,232
92,BART,BART_S_T0_P08,20,25,0.868975979,65.80955796,20.56666667,4.21,44.06388,-71.28731,6.2,1325,232
93,BART,BART_S_T0_P11,20,25,0.731613042,46.98405036,13.56666667,4.5,44.06388,-71.28731,6.2,1325,232
94,GRSM,GRSM_S_T0_P20,20,25,0.487351036,32.57625565,14.3,4.95,35.68896,-83.50195,13.1,1375,579
95,GRSM,GRSM_S_T0_P25,20,25,1.089989462,40.36513191,21.93333333,4.89,35.68896,-83.50195,13.1,1375,579
96,GRSM,GRSM_S_T0_P27,20,25,1.015678494,29.47060356,11.63333333,4.77,35.68896,-83.50195,13.1,1375,579
97,LENO,LENO_S_T0_P15,20,25,0.675436623,27.17078109,29.93333333,5.55,31.85388,-88.16122,18.1,1386,20
